type,display,insertion
shot,Close-up,"The camera frames a Close-up Shot, focusing intimately on the subject."
shot,Medium shot,"The camera captures a Medium Shot, showing the subject from the waist up."
shot,Long shot,"The camera pulls back for a Long Shot, revealing the full subject and their surroundings."
shot,Over-the-shoulder,"The camera positions for an Over-the-shoulder Shot, viewing the scene from behind one character."
shot,Dutch angle,"The camera tilts for a Dutch Angle Shot, creating a sense of unease or tension."
shot,Two-shot,"The camera frames two characters together for a Two-Shot, capturing their interaction during a conversation."
shot,Low angle,"The camera is positioned low for a Low Angle Shot, making the subject appear powerful or imposing."
shot,High angle,"The camera hovers above the subject for a High Angle Shot, making them appear smaller or more vulnerable."
shot,Cut-In,"The shot focuses on a specific detail with a Cut-In Shot, emphasizing an important part of the subject."
shot,Establishing,"The scene opens with a wide view in an Establishing Shot, setting the location or environment before zooming in on characters."
move,Static,"The camera remains Static, holding steady on the scene."
move,Pan,"The camera Pans smoothly, following the action horizontally."
move,Tilt,"The camera Tilts vertically, revealing more of the scene from top to bottom or vice versa."
move,Zoom,"The camera Zooms in or out, gradually changing the field of view."
move,Dolly,"The camera Dollies forward or backward, physically moving closer to or farther from the subject."
move,Tracking,"The camera executes a Tracking shot, moving alongside the subject."
move,Crane,"The camera ascends or descends smoothly in a Crane move, changing the perspective by moving up or down."
move,Handheld,"The camera is handheld for a Handheld move, adding a shaky, more immersive feel to the scene."
move,Arc,"The camera circles around the subject in an Arc Shot move, creating a dynamic circular motion."
move,Whip Pan,"The camera whips quickly across the scene in a Whip Pan move, blurring the transition between scenes."
size,Extreme Close-up,"The camera zooms in tightly for an Extreme Close-up Shot, focusing on a very small detail."
size,Close-up,"The camera frames a Close-up Shot, emphasizing facial expressions or small objects."
size,Medium,"The camera captures a Medium Shot, showing the subject from the waist up."
size,Wide,"The camera pulls back for a Wide Shot, revealing the full subject and their immediate surroundings."
size,Extreme Wide,"The camera captures an Extreme Wide Shot, showcasing the subject in relation to their entire environment."
size,Medium Close-up,"The camera frames the subject from the chest up in a Medium Close-up Shot, showing both face and some surroundings."
size,Full Shot,"The entire subject is visible in the frame in a Full Shot, showing the person from head to toe."
size,Medium Wide,"The shot captures the subject from the knees up in a Medium Wide Shot, giving more context to the surroundings."
size,American Shot,"The camera frames the subject from the mid-thighs up in an American Shot, often seen in classic films."
size,Cowboy Shot,"The camera captures the subject from the mid-thighs up in a Cowboy Shot, allowing space to show additional detail."
framing,Center,"The subject is positioned in the center of the frame, drawing immediate attention."
framing,Rule of Thirds,"The subject is placed along the intersections of a 3x3 grid, creating a balanced and visually appealing composition."
framing,Leading Lines,"The composition uses natural lines in the scene to guide the viewer's eye towards the subject."
framing,Symmetry,"The frame is composed with perfect symmetry, creating a sense of balance and order."
framing,Asymmetry,"The frame is intentionally unbalanced, creating visual tension or emphasizing certain elements."
framing,Foreground Interest,"Objects in the foreground frame the main subject, adding depth to the composition."
depth_of_field,Shallow,"A shallow depth of field is used, blurring the background to emphasize the subject."
depth_of_field,Deep,"A deep depth of field keeps both foreground and background in focus, showing detail throughout the frame."
depth_of_field,Selective Focus,"Specific elements are in focus while others are intentionally blurred, guiding the viewer's attention."
camera_type,Handheld,"A handheld camera is used, potentially creating a more dynamic or unstable feel."
camera_type,Steadicam,"A Steadicam is employed for smooth, fluid camera movements."
camera_type,Drone,"A drone-mounted camera captures aerial shots or unique perspectives."
camera_type,Gimbal,"A gimbal-stabilized camera is used for smooth movement while maintaining stability."
camera_name,ARRI ALEXA 65,"The ARRI ALEXA 65, known for its large format sensor and exceptional image quality, is used."
camera_name,RED DSMC2 MONSTRO 8K VV,"The RED DSMC2 MONSTRO 8K VV, capable of capturing 8K resolution with a full-frame sensor, is employed."
camera_name,Sony VENICE,"The Sony VENICE, a full-frame digital cinema camera with a unique color science, is utilized."
camera_name,Panavision Millennium DXL2,"The Panavision Millennium DXL2, combining RED's MONSTRO 8K sensor with Panavision's optics and color science, is used."
camera_name,ARRI ALEXA Mini LF,"The ARRI ALEXA Mini LF, a compact large-format camera, is employed for its versatility and image quality."
camera_name,Blackmagic URSA Mini Pro 12K,"The Blackmagic URSA Mini Pro 12K, offering high resolution and dynamic range, is utilized."
camera_name,Canon EOS C700 FF,"The Canon EOS C700 FF, a full-frame cinema camera with Canon's color science, is used."
camera_name,Panasonic VariCam Pure,"The Panasonic VariCam Pure, known for its dual native ISO and wide color gamut, is employed."
camera_name,RED KOMODO 6K,"The RED KOMODO 6K, a compact cinema camera with RED's image quality, is utilized."
camera_name,IMAX MSM 9802,"The IMAX MSM 9802, a 65mm film camera used for IMAX productions, captures the scene."
camera_name,Kodak Disposable Camera,"A Kodak Disposable Camera is used, creating a nostalgic, lo-fi aesthetic."
camera_name,iPhone 13 Pro,"An iPhone 13 Pro smartphone camera is employed, showcasing modern mobile cinematography capabilities."
camera_name,GoPro HERO10 Black,"A GoPro HERO10 Black action camera is used, capturing immersive POV or extreme action shots."
camera_name,Leica M10 Monochrom,"A Leica M10 Monochrom, a digital rangefinder camera dedicated to black and white photography, is employed."
camera_name,Hasselblad H6D-100c,"A Hasselblad H6D-100c medium format digital camera is used, known for its exceptional detail and color accuracy."
lens_type,Wide-angle,"A wide-angle lens is used, capturing a broader view and potentially distorting the edges of the frame."
lens_type,Telephoto,"A telephoto lens is employed, compressing the perspective and isolating the subject from the background."
lens_type,Fisheye,"A fisheye lens creates an ultra-wide, distorted view with a distinct curved appearance."
lens_type,Macro,"A macro lens is used for extreme close-ups, revealing minute details."
