Timestamp,Scene,Shot,Script Reference,Shot Description,Shot Size,People,Places
00:00,1,1,"INT. MURDA MOOK’S APARTMENT - DAY. On February 25, 2024, Murda Mook’s life unraveled in real time on Instagram Live.","The camera shakes as Mook, visibly intoxicated, paces back and forth in his cluttered apartment while arguing with police officers.",Medium Shot,"Murda Mook, NYPD Officers",Mook’s Apartment
00:15,1,2,“You didn’t get invited into my room… y’all broke my lock off…”,"Mook gestures animatedly, his frustration palpable as he tries to make his point to the officers.",Close-up,Murda Mook,Mook’s Apartment
00:30,1,3,"Behind him, the mess told a different story.","A wide shot reveals the chaotic state of the apartment, with clothes and dishes strewn around.",Wide Shot,N/A,Mook’s Apartment
00:45,1,4,"Comments flooded the livestream, advising Mook to stay calm, but the tension in the room kept rising.",Cut to a close-up of a phone screen showing live comments as viewers express their concern for Mook.,Close-up,N/A,N/A
01:00,1,5,“Y’all gotta kill me if y’all do anything.”,"Mook's face contorts with desperation, his eyes wide as he addresses the officers, showcasing his vulnerability.",Close-up,Murda Mook,Mook’s Apartment
01:15,1,6,"The incident ended with Mook being arrested, charged with domestic violence, and led away in handcuffs.","Police officers place Mook in handcuffs, the gravity of the situation sinking in as fans watch in disbelief.",Medium Shot,"Murda Mook, NYPD Officers",Mook’s Apartment
01:30,1,7,"His world, once defined by punchlines and battle victories, now seemed to be falling apart at the seams.","A slow pan across the apartment, highlighting the disarray while Mook is led away, symbolizing his downfall.",Wide Shot,N/A,Mook’s Apartment
,None,1,None,None,None,None,None
01:45,2,1,"INT. BATTLE RAP VENUE - NIGHT. Long before the viral arrest, Murda Mook was the king of the streets.","A vibrant crowd cheers as Mook steps onto the stage, confidence radiating from him.",Wide Shot,"Murda Mook, Crowd",Battle Rap Venue
02:00,2,2,His name became synonymous with greatness as he carved his path in the SMACK DVD era.,"Montage of Mook in various battles, delivering powerful punchlines that electrify the audience.",Montage,Murda Mook,Various Venues
02:15,2,3,"Mook’s ability to deliver intricate punchlines, devastate opponents with flawless wordplay, and captivate crowds was unmatched.","Close-ups of Mook’s intense face as he delivers bars, intercut with shots of the captivated crowd.",Close-up,"Murda Mook, Audience",Battle Rap Venue
02:30,2,4,"Whether clashing with Loaded Lux or Jae Millz, Mook was the ultimate tactician.","Split-screen showing Mook battling Loaded Lux on one side and Jae Millz on the other, both intense moments.",Split Screen,"Murda Mook, Loaded Lux, Jae Millz",Various Venues
02:45,2,5,Fans couldn’t get enough of his performances.,"Wide shot of a packed venue, fans cheering and holding up signs in support of Mook.",Wide Shot,"Murda Mook, Fans",Battle Rap Venue
,None,1,None,None,None,None,None
03:00,3,1,"INT. SMACK DVD STUDIO - DAY. With SMACK DVDs becoming a cultural phenomenon, Mook’s reign grew even larger.",A wide shot of the studio bustling with activity as Mook prepares for a filmed battle.,Wide Shot,"Murda Mook, Crew",SMACK DVD Studio
03:15,3,2,"Each of his battles was a main event, and fans waited with anticipation to see what he would do next.","Close-up of fans eagerly waiting, eyes glued to the stage, palpable excitement in the air.",Close-up,Fans,Battle Rap Venue
