Timestamp,Scene,Shot,Script Reference,Shot Description,Shot Size,People,Places,Reference
00:00,1,1,"In the pulsating heart of Tampa, Florida, as the clock struck midnight on June 23, 2024, Julio Foolio should have been celebrating the dawn of his 26th year.","A vibrant aerial shot of Tampa at midnight, showcasing the city’s nightlife and energy, setting the stage for the events to unfold.",Establishing Shot,N/A,"Tampa, Florida  ",
00:15,1,2,"Instead, the rising Jacksonville rapper, born Charles Jones, was about to become the latest casualty in a long-standing feud that had claimed too many lives already.","A somber close-up of Julio Foolio, reflecting on his life and the weight of his surroundings, juxtaposed against the festive atmosphere.",Close-up,Julio Foolio,N/A  ,
00:30,2,1,The night began with promise and excitement.,"Wide shot of the lively Airbnb party, with people dancing, laughing, and celebrating, embodying the initial joy of the birthday bash.",Wide Shot,"Julio Foolio, Entourage",Airbnb  ,
00:45,2,2,"Foolio, riding high on the success of his recent tracks and a growing fanbase of nearly one million monthly Spotify listeners, took to Instagram with an invitation that would prove fateful.","Close-up of Foolio's phone screen as he types the Instagram post, capturing the moment of excitement and anticipation.",Close-up,Julio Foolio,N/A  ,
01:00,2,3,"“Pull up and turn up!” he posted, directing his million followers to DM for the address of his exclusive pool party.","Quick cuts of fans reacting to the Instagram post, showing their excitement and eagerness to attend.",Montage,Fans,N/A  ,
01:20,2,4,The Airbnb they'd rented buzzed with energy as Foolio and his entourage basked in the glow of success and friendship.,"Medium shot of Foolio and his friends toasting with drinks, laughter echoing in the background, capturing the celebratory mood.",Medium Shot,"Julio Foolio, Entourage",Airbnb  ,
01:35,2,5,"But as the night wore on, the celebration grew rowdier, eventually catching the attention of local authorities.","Cut to a police car outside the Airbnb, lights flashing as officers discuss the situation, creating tension.",Medium Shot,Police Officers,Airbnb  ,
01:50,2,6,"Citing overcrowding concerns, the police shut down the party, forcing Foolio and his friends to seek a new venue for their revelry.","Wide shot of the police breaking up the party, with guests leaving reluctantly, highlighting the abrupt end to the celebration.",Wide Shot,"Julio Foolio, Entourage, Police",Airbnb  ,
02:05,2,7,"Undeterred, Foolio took to Instagram once more.","Close-up of Foolio posting another message on Instagram, determination in his eyes as he types.",Close-up,Julio Foolio,N/A  ,
02:20,2,8,"“Best birthday everrrr 🤞🤞🤞🤞🤞 appreciate everybody who pulled up we turnt up till we couldn't nomo,” he wrote, his words tinged with an irony he couldn't have foreseen.","Montage of partygoers reacting to the new message, blending joy with an underlying sense of foreboding.",Montage,Fans,N/A  ,
